gen,bestIsSolutionB4start,dynamicConstraintsB4,currentOperator,sumDiff/AC,improvedChromes,affectedChromes,diversity,bestBeforeOpStarts
16,false,[5/81],mutationClusterMulti,0.0,2,63,1705523.0129999993,5.49242984E8
16,false,[5/81],interRaceX,5708992.82,41,100,2276422.2950000046,5.56469763E8
17,false,[5/81],interRaceX,4697260.73,31,100,751507.1120000005,5.56469763E8
18,false,[5/81],mutationInterRaceXCOP,0.006602904711617157,25,100,1618807.1080000042,5.49242984E8
18,false,[5/81],mutationInterRaceXCOP,0.004976403505650289,19,62,1618807.1080000042,5.49242984E8
18,false,[5/81],interRaceX,7082023.75,35,100,563641.5169999957,5.56469763E8
19,false,[5/81],mutationKemp2,0.0,0,100,1488724.1710000038,5.49242984E8
19,false,[5/81],mutationKemp2,0.0,0,64,1488724.1710000038,5.49242984E8
19,false,[5/81],interRaceX,7226536.18,32,100,2211377.7889999985,5.56469763E8
21,false,[5/81],crossoverKempe,0.0,0,100,1459816.7120000005,5.49242984E8
21,false,[5/81],crossoverKempe,0.0,0,74,1459816.7120000005,5.49242984E8
21,false,[5/81],interRaceX,7804707.49,32,100,650298.6389999986,5.56469763E8
22,false,[5/81],crossoverKempe,0.0,4,100,1459816.725,5.49242984E8
22,false,[5/81],crossoverKempe,0.0,8,67,1459816.725,5.49242984E8
22,false,[5/81],interRaceX,6503909.44,44,100,2110207.669000006,5.56469763E8
23,false,[5/81],crossoverKempe,0.0,17,100,1532083.7299999953,5.49242984E8
23,false,[5/81],crossoverKempe,0.0,26,64,1532083.7299999953,5.49242984E8
23,false,[5/81],interRaceX,6359455.74,39,100,1445341.3039999963,5.56469763E8
24,false,[5/81],crossoverKempe,0.0,1,100,1589897.0940000056,5.49242984E8
24,false,[5/81],crossoverKempe,0.0,0,69,1589897.0940000056,5.49242984E8
24,false,[5/81],interRaceX,5998034.22,39,100,744325.8159999967,5.56469763E8
25,false,[5/81],crossoverKempe,0.0,0,100,1640483.9509999992,5.49242984E8
25,false,[5/81],crossoverKempe,0.0,0,64,1640483.9509999992,5.49242984E8
25,false,[5/81],interRaceX,6359368.99,36,100,2276420.85,5.56469763E8
26,false,[5/81],crossoverKempe,0.0,0,100,1640483.647000003,5.49242984E8
26,false,[5/81],crossoverKempe,0.0,0,67,1640483.647000003,5.49242984E8
26,false,[5/81],interRaceX,5998102.09,45,100,2240293.855999994,5.56469763E8
27,false,[5/81],crossoverKempe,0.0,2,100,1662165.4899999977,5.49242984E8
27,false,[5/81],crossoverKempe,0.0,1,68,1662165.4899999977,5.49242984E8
27,false,[5/81],interRaceX,6503937.2,30,100,2312559.2100000023,5.56469763E8
28,false,[5/81],crossoverKempe,0.0,2,100,1589897.7529999972,5.49242984E8
28,false,[5/81],crossoverKempe,0.0,3,64,1589897.7529999972,5.49242984E8
28,false,[5/81],interRaceX,8744060.16,36,100,2464303.769000006,5.56469763E8
29,false,[5/81],crossoverKempe,0.0,1,100,1539310.8879999996,5.49242984E8
29,false,[5/81],crossoverKempe,0.0,0,60,1539310.8879999996,5.49242984E8
29,false,[5/81],interRaceX,6214835.07,30,100,2160794.3950000047,5.56469763E8
30,false,[5/81],crossoverKempe,0.0,19,100,1495950.3870000006,5.49242984E8
30,false,[5/81],crossoverKempe,0.0,24,62,1495950.3870000006,5.49242984E8
30,false,[5/81],interRaceX,5709054.11,34,100,2066855.798000002,5.56469763E8
31,false,[5/81],mutationGroupSwap,0.007151965991943144,33,100,1546539.6090000034,5.49242984E8
31,false,[5/81],mutationGroupSwap,0.004042755370305497,18,63,1546539.6090000034,5.49242969E8
31,false,[5/81],interRaceX,5853546.53,34,100,758808.1379999996,5.56469763E8
32,false,[5/81],mutationGroupSwap,0.009252568189112935,24,100,1611583.0330000042,5.49242969E8
32,false,[5/81],mutationGroupSwap,0.007841652957722545,25,73,1611583.0330000042,5.49242969E8
32,false,[5/81],interRaceX,5781188.91,36,100,700834.975999999,5.56469763E8
33,false,[5/81],mutationGroupSwap,0.004874247254629154,19,100,1553767.5120000003,5.49242969E8
33,false,[5/81],mutationGroupSwap,0.0027525652859352345,9,61,1553767.5120000003,5.49242969E8
33,false,[5/81],interRaceX,6142592.14,34,100,722642.2740000009,5.56469763E8
34,false,[5/81],mutationGroupSwap,0.00792065178946359,15,100,1618809.351999998,5.49242969E8
34,false,[5/81],mutationGroupSwap,0.0037524691246197386,10,59,1618809.351999998,5.49242969E8
34,false,[5/81],interRaceX,5925794.9,34,100,2211388.8419999955,5.56469763E8
35,false,[5/81],mutationGroupSwap,0.002578816861496307,10,100,1604356.7610000013,5.49242969E8
35,false,[5/81],mutationGroupSwap,9.881238695111517E-4,7,57,1604356.7610000013,5.49242969E8
35,false,[5/81],interRaceX,7154355.72,40,100,570873.2559999942,5.56469763E8
36,false,[5/81],mutationGroupSwap,0.002079348211409524,8,100,1654944.9379999996,5.49242969E8
36,false,[5/81],mutationGroupSwap,8.025593342608772E-4,9,64,1654944.9379999996,5.49242969E8
36,false,[5/81],interRaceX,6359346.46,39,100,599787.4159999967,5.56469763E8
37,false,[5/81],mutationGroupSwap,0.010623450230632443,15,100,1626037.4179999947,5.49242969E8
37,false,[5/81],mutationGroupSwap,6.664385160794323E-4,5,59,1626037.4179999947,5.49242969E8
37,false,[5/81],interRaceX,7660151.2,34,100,2392052.5379999992,5.56469763E8
38,false,[5/81],mutationGroupSwap,0.0011618845199700444,8,100,1553769.202999997,5.49242969E8
38,false,[5/81],mutationGroupSwap,0.0015291061528841965,5,60,1553769.202999997,5.49242969E8
38,false,[5/81],interRaceX,7660158.53,33,100,570821.0440000057,5.56469763E8
39,false,[5/81],mutationGroupSwap,8.997520370758139E-4,4,100,1510407.9090000035,5.49242969E8
39,false,[5/81],mutationGroupSwap,3.6547857979756025E-4,6,63,1510407.9090000035,5.49242969E8
39,false,[5/81],interRaceX,8021500.68,33,100,577998.7230000019,5.56469763E8
40,false,[5/81],mutationGroupSwap,6.801275239558891E-4,5,100,1503181.2490000008,5.49242969E8
40,false,[5/81],mutationGroupSwap,0.001230493874652638,6,57,1503181.2490000008,5.49242969E8
40,false,[5/81],interRaceX,6576192.05,39,100,729931.925999999,5.56469763E8
41,false,[5/81],mutationSwapCOP,0.0,0,100,1553768.8429999948,5.49242969E8
41,false,[5/81],mutationSwapCOP,0.0,0,60,1553768.8429999948,5.49242969E8
41,false,[5/81],interRaceX,5998071.63,35,100,737060.5940000057,5.56469763E8
42,false,[5/81],mutationSwapCOP,0.0,0,100,1604355.9179999947,5.49242969E8
42,false,[5/81],mutationSwapCOP,0.0,0,60,1604355.9179999947,5.49242969E8
42,false,[5/81],interRaceX,5925775.42,43,100,693581.3399999976,5.56469763E8
43,false,[5/81],mutationSwapCOP,0.0,0,100,1676623.2899999975,5.49242969E8
43,false,[5/81],mutationSwapCOP,0.0,0,63,1676623.2899999975,5.49242969E8
43,false,[5/81],interRaceX,6214881.98,41,100,2298111.4879999994,5.56469763E8
44,false,[5/81],mutationSwapCOP,0.0,0,100,1719982.4100000022,5.49242969E8
44,false,[5/81],mutationSwapCOP,0.0,0,56,1719982.4100000022,5.49242969E8
44,false,[5/81],interRaceX,5997945.67,35,100,570805.0230000019,5.56469763E8
45,false,[5/81],mutationSwapCOP,0.0,0,100,1626035.0750000002,5.49242969E8
45,false,[5/81],mutationSwapCOP,0.0,0,61,1626035.0750000002,5.49242969E8
45,false,[5/81],interRaceX,5925790.33,28,100,2218611.8440000056,5.56469763E8
46,false,[5/81],mutationSwapCOP,0.0,0,100,1553764.7870000005,5.49242969E8
46,false,[5/81],mutationSwapCOP,0.0,0,69,1553764.7870000005,5.49242969E8
46,false,[5/81],interRaceX,8238315.0,39,100,512970.2129999995,5.56469763E8
47,false,[5/81],mutationSwapCOP,0.0,0,100,1510405.8799999952,5.49242969E8
47,false,[5/81],mutationSwapCOP,0.0,0,69,1510405.8799999952,5.49242969E8
47,false,[5/81],interRaceX,5998058.77,26,100,2110211.7570000053,5.56469763E8
48,false,[5/81],mutationSwapCOP,0.0,0,100,1474272.1360000013,5.49242969E8
48,false,[5/81],mutationSwapCOP,0.0,0,69,1474272.1360000013,5.49242969E8
48,false,[5/81],interRaceX,6648489.06,35,100,751546.0580000043,5.56469763E8
49,false,[5/81],mutationSwapCOP,0.0,0,100,1532086.6269999982,5.49242969E8
49,false,[5/81],mutationSwapCOP,0.0,0,71,1532086.6269999982,5.49242969E8
49,false,[5/81],interRaceX,7298805.17,37,100,1539282.1440000057,5.56469763E8
50,false,[5/81],mutationSwapCOP,0.0,0,100,1568219.6639999987,5.49242969E8
50,false,[5/81],mutationSwapCOP,0.0,0,64,1568219.6639999987,5.49242969E8
50,false,[5/81],interRaceX,6720656.78,35,100,650288.9539999962,5.56469763E8
51,false,[5/81],mutationKemp5,0.0,12,100,1604351.1529999971,5.49242969E8
51,false,[5/81],mutationKemp5,0.0,63,77,1604351.1529999971,5.49242969E8
51,false,[5/81],interRaceX,5781288.0,35,100,2182479.9529999974,5.56469763E8
52,false,[5/81],mutationKemp5,0.0,1,100,1662164.0690000057,5.49242969E8
52,false,[5/81],mutationKemp5,0.0,0,69,1662164.0690000057,5.49242969E8
52,false,[5/81],interRaceX,5709034.25,36,100,657561.0059999943,5.56469763E8
53,false,[5/81],mutationKemp5,0.0,2,100,1654937.3700000048,5.49242969E8
53,false,[5/81],mutationKemp5,0.0,1,78,1654937.3700000048,5.49242969E8
53,false,[5/81],interRaceX,6503925.72,30,100,2305329.9419999956,5.56469763E8
54,false,[5/81],mutationKemp5,0.0,5,100,1553762.9279999973,5.49242969E8
54,false,[5/81],mutationKemp5,0.0,0,72,1553762.9279999973,5.49242969E8
54,false,[5/81],interRaceX,6431662.35,34,100,693582.6370000005,5.56469763E8
55,false,[5/81],mutationKemp5,0.0,4,100,1503176.3200000047,5.49242969E8
55,false,[5/81],mutationKemp5,0.0,2,79,1503176.3200000047,5.49242969E8
55,false,[5/81],interRaceX,6287132.26,29,100,2131889.546000004,5.56469763E8
56,false,[5/81],mutationKemp5,0.0,3,100,1467043.9870000004,5.49242969E8
56,false,[5/81],mutationKemp5,0.0,1,78,1467043.9870000004,5.49242969E8
56,false,[5/81],interRaceX,7082029.75,37,100,729884.1620000005,5.56469763E8
57,false,[5/81],mutationKemp5,0.0,3,100,1510403.6970000027,5.49242969E8
57,false,[5/81],mutationKemp5,0.0,0,70,1510403.6970000027,5.49242969E8
57,false,[5/81],interRaceX,7009821.05,29,100,679294.7980000018,5.56469763E8
58,false,[5/81],mutationKemp5,0.0,6,100,1517630.6320000053,5.49242969E8
58,false,[5/81],mutationKemp5,0.0,3,75,1517630.6320000053,5.49242969E8
58,false,[5/81],interRaceX,6214840.72,37,100,1416430.8039999963,5.56469763E8
59,false,[5/81],mutationKemp5,0.0,1,100,1560990.7669999958,5.49242969E8
59,false,[5/81],mutationKemp5,0.0,1,74,1560990.7669999958,5.49242969E8
59,false,[5/81],interRaceX,5925761.16,34,100,737025.5169999957,5.56469763E8
62,false,[5/81],mutationGroupSwap,0.01734679419139866,32,100,1604354.6409999966,5.49242969E8
62,false,[5/81],mutationGroupSwap,0.0011840119566417567,8,73,1604354.6409999966,5.49242969E8
62,false,[5/81],interRaceX,5275388.53,31,100,758807.4059999943,5.56469763E8
63,false,[5/81],interRaceX,7009767.19,29,100,2312556.6600000025,5.56469763E8
66,false,[5/81],mutationGroupSwap,0.01181367339740973,22,100,1532086.4830000042,5.49242969E8
66,false,[5/81],mutationGroupSwap,0.016658933410211137,28,71,1532086.4830000042,5.49242969E8
66,false,[5/81],interRaceX,8455043.06,32,100,513036.4110000014,5.56469763E8
67,false,[5/81],mutationKemp3,0.0,6,100,1510406.1169999957,5.49242969E8
67,false,[5/81],mutationKemp3,0.0,38,74,1510406.1169999957,5.49242969E8
67,false,[5/81],interRaceX,6576155.49,29,100,722611.7340000033,5.56469763E8
68,false,[5/81],mutationSinglePoint,0.0,0,100,1474272.0769999982,5.49242969E8
68,false,[5/81],mutationSinglePoint,0.0,0,64,1474272.0769999982,5.49242969E8
68,false,[5/81],interRaceX,6865268.56,34,100,729847.8669999957,5.56469763E8
69,false,[5/81],mutationInterRaceXCOP,0.0037194473965791986,16,100,1524860.4539999962,5.49242969E8
69,false,[5/81],mutationInterRaceXCOP,0.003576770181906694,20,72,1524860.4539999962,5.49242969E8
69,false,[5/81],interRaceX,7082054.54,43,100,2233065.9080000045,5.56469763E8
70,false,[5/81],crossoverKempe,0.0,0,100,1568220.2279999973,5.49242969E8
70,false,[5/81],crossoverKempe,0.0,0,64,1568220.2279999973,5.49242969E8
70,false,[5/81],interRaceX,6648439.67,40,100,787721.5950000047,5.56469763E8
71,false,[5/81],mutationChangeTrack,0.0,5,100,1626034.3559999943,5.49242969E8
71,false,[5/81],mutationChangeTrack,0.0,3,63,1626034.3559999943,5.49242969E8
71,false,[5/81],interRaceX,5998076.07,37,100,1503165.9629999995,5.56469763E8
72,false,[5/81],interRaceX,5925820.16,36,100,679305.3379999995,5.56469763E8
73,false,[5/81],mutationClusterMulti,0.0,0,100,1719980.5840000033,5.49242969E8
73,false,[5/81],mutationClusterMulti,0.0,0,62,1719980.5840000033,5.49242969E8
73,false,[5/81],interRaceX,5925797.37,29,100,578118.0789999962,5.56469763E8
74,false,[5/81],mutationKemp2,0.0,1,100,1589900.9220000028,5.49242969E8
74,false,[5/81],mutationKemp2,0.0,1,67,1589900.9220000028,5.49242969E8
74,false,[5/81],interRaceX,8021501.41,35,100,498522.13700000045,5.56469763E8
75,false,[5/81],mutationKemp5,0.0,0,100,1524860.1730000018,5.49242969E8
75,false,[5/81],mutationKemp5,0.0,0,61,1524860.1730000018,5.49242969E8
75,false,[5/81],interRaceX,7298787.22,33,100,2254738.8950000047,5.56469763E8
76,false,[5/81],interRaceX,0.0,0,100,1474272.7889999987,5.49242969E8
76,false,[5/81],interRaceX,0.0,0,65,1474272.7889999987,5.49242969E8
76,false,[5/81],interRaceX,5130892.6,31,100,1987362.049000001,5.56469763E8
79,false,[5/81],mutationKemp4,0.0,20,100,1524861.4429999948,5.49242969E8
79,false,[5/81],mutationKemp4,0.0,15,65,1524861.4429999948,5.49242969E8
79,false,[5/81],interRaceX,5853580.44,39,100,2110219.487,5.56469763E8
82,false,[5/81],mutationKemp3,0.0,5,100,1560993.7539999962,5.49242969E8
82,false,[5/81],mutationKemp3,0.0,28,61,1560993.7539999962,5.49242969E8
82,false,[5/81],interRaceX,6937530.41,39,100,1532061.7950000048,5.56469763E8
83,false,[5/81],interRaceX,0.0,0,100,1618806.397000003,5.49242969E8
83,false,[5/81],interRaceX,0.0,0,63,1618806.397000003,5.49242969E8
83,false,[5/81],interRaceX,6865234.75,37,100,585344.1279999971,5.56469763E8
84,false,[5/81],mutationClusterMulti,0.0,1,100,1611579.999000001,5.49242969E8
84,false,[5/81],mutationClusterMulti,0.0,1,69,1611579.999000001,5.49242969E8
84,false,[5/81],interRaceX,5564465.35,36,100,2168026.5340000032,5.56469763E8
85,false,[5/81],mutationKemp4,0.0,15,100,1618806.8169999958,5.49242969E8
85,false,[5/81],mutationKemp4,0.0,16,65,1618806.8169999958,5.49242969E8
85,false,[5/81],interRaceX,7371068.86,34,100,2355913.7029999974,5.56469763E8
86,false,[5/81],crossoverKempe,0.0,0,100,1517633.8610000014,5.49242969E8
86,false,[5/81],crossoverKempe,0.0,0,63,1517633.8610000014,5.49242969E8
86,false,[5/81],interRaceX,7804683.75,33,100,592521.0639999985,5.56469763E8
87,false,[5/81],mutationInterRaceXCOP,0.004852993269450962,20,100,1488727.5789999962,5.49242969E8
87,false,[5/81],mutationInterRaceXCOP,0.0023758046585938028,12,58,1488727.5789999962,5.49242969E8
87,false,[5/81],interRaceX,7226583.24,31,100,679210.2970000028,5.56469763E8
88,false,[5/81],mutationSinglePoint,0.0,0,100,1488727.5789999962,5.49242969E8
88,false,[5/81],mutationSinglePoint,0.0,0,57,1488727.5789999962,5.49242969E8
88,false,[5/81],interRaceX,6792982.87,35,100,1445361.8659999967,5.56469763E8
89,false,[5/81],mutationKemp5,0.0,2,100,1532088.4179999947,5.49242969E8
89,false,[5/81],mutationKemp5,0.0,2,57,1532088.4179999947,5.49242969E8
89,false,[5/81],interRaceX,6720683.59,42,100,2204156.7769999984,5.56469763E8
90,false,[5/81],mutationGroupSwap,0.014597945448476821,19,100,1626037.4059999944,5.49242969E8
90,false,[5/81],mutationGroupSwap,0.001093772333932289,6,57,1626037.4059999944,5.49242969E8
90,false,[5/81],interRaceX,4769557.06,32,100,657713.1120000004,5.56469763E8
91,false,[5/81],mutationChangeTrack,0.0,12,100,1669397.1100000024,5.49242969E8
91,false,[5/81],mutationChangeTrack,0.0,23,56,1669397.1100000024,5.49242969E8
91,false,[5/81],interRaceX,5781252.08,33,100,1524882.3179999948,5.56469763E8
94,false,[5/81],mutationSinglePoint,0.0,0,100,1669395.3200000047,5.49242969E8
94,false,[5/81],mutationSinglePoint,0.0,0,62,1669395.3200000047,5.49242969E8
94,false,[5/81],interRaceX,5130873.82,34,100,1459855.5019999982,5.56469763E8
95,false,[5/81],interRaceX,0.0,0,100,1662169.522000003,5.49242969E8
95,false,[5/81],interRaceX,0.0,0,62,1662169.522000003,5.49242969E8
95,false,[5/81],interRaceX,6576204.3,31,100,570872.5649999976,5.56469763E8
96,false,[5/81],mutationKemp2,0.0,5,100,1568221.4169999957,5.49242969E8
96,false,[5/81],mutationKemp2,0.0,14,57,1568221.4169999957,5.49242969E8
96,false,[5/81],interRaceX,7949255.66,36,100,527401.2169999956,5.56469763E8
97,false,[5/81],interRaceX,8093746.45,33,100,585395.8779999971,5.56469763E8
98,false,[5/81],mutationKemp1,0.0,6,100,1495952.9809999943,5.49242969E8
98,false,[5/81],mutationKemp1,0.0,8,62,1495952.9809999943,5.49242969E8
98,false,[5/81],interRaceX,5492284.63,33,100,845530.5559999943,5.56469763E8
99,false,[5/81],mutationKemp4,0.0,0,100,1582675.350999999,5.49242969E8
99,false,[5/81],mutationKemp4,0.0,0,59,1582675.350999999,5.49242969E8
99,false,[5/81],interRaceX,4552776.5,36,100,1315265.000999999,5.56469763E8
100,false,[5/81],crossoverKempe,0.0,0,100,1662170.8110000014,5.49242969E8
100,false,[5/81],crossoverKempe,0.0,0,61,1662170.8110000014,5.49242969E8
100,false,[5/81],interRaceX,6142584.59,38,100,2276428.417999995,5.56469763E8
101,false,[5/81],mutationSwapCOP,0.0,0,100,1698300.3799999952,5.49242969E8
101,false,[5/81],mutationSwapCOP,0.0,0,63,1698300.3799999952,5.49242969E8
101,false,[5/81],interRaceX,6142606.56,40,100,578087.9639999985,5.56469763E8
102,false,[5/81],mutationKemp5,0.0,11,100,1676619.9970000028,5.49242969E8
102,false,[5/81],mutationKemp5,0.0,9,61,1676619.9970000028,5.49242969E8
102,false,[5/81],interRaceX,5636723.25,33,100,650334.5779999972,5.56469763E8
103,false,[5/81],mutationInterRaceXCOP,0.007839178178401199,32,100,1662171.3490000009,5.49242969E8
103,false,[5/81],mutationInterRaceXCOP,0.0022853747448666143,16,62,1662171.3490000009,5.49242969E8
103,false,[5/81],interRaceX,7082004.37,34,100,520102.3139999986,5.56469763E8
106,false,[5/81],mutationKemp3,0.0,10,100,1560995.624000001,5.49242969E8
106,false,[5/81],mutationKemp3,0.0,18,60,1560995.624000001,5.49242969E8
106,false,[5/81],interRaceX,7154242.65,31,100,2276419.8889999986,5.56469763E8
107,false,[5/81],mutationKemp1,0.0,0,100,1524862.0779999972,5.49242969E8
107,false,[5/81],mutationKemp1,0.0,0,61,1524862.0779999972,5.49242969E8
107,false,[5/81],interRaceX,7154270.75,30,100,650396.4470000028,5.56469763E8
108,false,[5/81],interRaceX,0.0,0,100,1517635.198000002,5.49242969E8
108,false,[5/81],interRaceX,0.0,0,59,1517635.198000002,5.49242969E8
108,false,[5/81],interRaceX,6142622.55,36,100,2131897.452999997,5.56469763E8
109,false,[5/81],crossoverKempe,0.0,0,100,1524861.7850000025,5.49242969E8
109,false,[5/81],crossoverKempe,0.0,0,62,1524861.7850000025,5.49242969E8
109,false,[5/81],interRaceX,6865245.12,38,100,2211386.297000003,5.56469763E8
110,false,[5/81],mutationGroupSwap,0.014133900106535292,20,100,1575450.5669999956,5.49242969E8
110,false,[5/81],mutationGroupSwap,0.00576485779217159,13,62,1575450.5669999956,5.49242969E8
110,false,[5/81],interRaceX,6865258.98,40,100,816624.4879999995,5.56469763E8
113,false,[5/81],mutationSinglePoint,0.0,0,100,1654942.8340000033,5.49242969E8
113,false,[5/81],mutationSinglePoint,0.0,0,62,1654942.8340000033,5.49242969E8
113,false,[5/81],interRaceX,5998092.38,32,100,2254752.072000003,5.56469763E8
114,false,[5/81],mutationSwapCOP,0.0,0,100,1647714.0100000023,5.49242969E8
114,false,[5/81],mutationSwapCOP,0.0,0,61,1647714.0100000023,5.49242969E8
114,false,[5/81],interRaceX,5130869.18,29,100,729687.5720000028,5.56469763E8
115,false,[5/81],crossoverKempe,0.0,5,100,1669393.9659999968,5.49242969E8
115,false,[5/81],crossoverKempe,0.0,13,61,1669393.9659999968,5.49242969E8
115,false,[5/81],interRaceX,7154249.72,32,100,2384818.9379999996,5.56469763E8
116,false,[5/81],mutationKemp4,0.0,5,100,1575446.1779999973,5.49242969E8
116,false,[5/81],mutationKemp4,0.0,8,61,1575446.1779999973,5.49242969E8
116,false,[5/81],interRaceX,7082035.15,35,100,606938.8070000053,5.56469763E8
117,false,[5/81],mutationGroupSwap,0.007431810131529346,20,100,1474272.6389999986,5.49242969E8
117,false,[5/81],mutationGroupSwap,0.002188246317429378,8,62,1474272.6389999986,5.49242969E8
117,false,[5/81],interRaceX,7515645.84,29,100,664874.4769999981,5.56469763E8
118,false,[5/81],mutationKemp1,0.0,16,100,1474272.6509999991,5.49242969E8
118,false,[5/81],mutationKemp1,0.0,30,64,1474272.6509999991,5.49242969E8
118,false,[5/81],interRaceX,5853518.0,28,100,2059624.450999999,5.56469763E8
119,false,[5/81],mutationClusterMulti,0.0,0,100,1510406.974000001,5.49242969E8
119,false,[5/81],mutationClusterMulti,0.0,0,68,1510406.974000001,5.49242969E8
119,false,[5/81],interRaceX,6937502.88,36,100,686397.5379999995,5.56469763E8
120,false,[5/81],interRaceX,4625044.15,31,100,2001816.1730000018,5.4924299E8
121,false,[5/81],interRaceX,4624976.3,27,100,1149018.397000003,5.4924299E8
122,false,[5/81],interRaceX,4624992.14,30,100,2926813.016999996,5.42016137E8
123,false,[5/81],interRaceX,5275320.49,42,100,2616034.0639999984,5.34789876E8
124,false,[5/81],interRaceX,4119109.0,47,100,3512157.129999995,5.27563416E8
127,false,[10/81],mutationKemp1,0.0,0,100,3483247.6919999956,5.13111186E8
127,false,[10/81],mutationKemp1,0.0,0,94,3483247.6919999956,5.13111186E8
127,false,[10/81],interRaceX,7370975.38,55,100,115594.1699999988,5.20337508E8
128,false,[10/81],mutationSinglePoint,0.0,0,100,4046902.3440000056,5.13111186E8
128,false,[10/81],mutationSinglePoint,0.0,0,93,4046902.3440000056,5.13111186E8
128,false,[10/81],interRaceX,8743943.51,60,100,137281.8050000012,5.20337028E8
129,false,[10/81],mutationKemp3,4.7821466519962994E-4,1,100,4906823.038,5.13110574E8
129,false,[10/81],mutationKemp3,0.0,0,60,4906823.038,5.13110574E8
129,false,[10/81],interRaceX,9032964.53,55,100,751449.6910000027,5.20336354E8
130,false,[10/81],mutationKemp3,0.0011725115127046593,1,100,5354858.331,5.13110574E8
130,false,[10/81],mutationKemp3,0.003345534694946966,2,72,5354858.331,5.13110574E8
130,false,[10/81],interRaceX,5347504.19,37,100,5889608.75,5.20336354E8
131,false,[10/81],mutationInterRaceXCOP,0.06944031172286486,66,100,4458794.062999999,5.13110574E8
131,false,[10/81],mutationInterRaceXCOP,0.08686976030051786,59,60,4458794.062999999,5.13110374E8
131,false,[10/81],interRaceX,1.105643361E7,40,100,4841749.424000001,5.20336354E8
132,false,[10/81],crossoverKempe,0.0,0,100,4263678.116000002,5.13110149E8
132,false,[10/81],crossoverKempe,0.0,0,79,4263678.116000002,5.13110149E8
132,false,[10/81],interRaceX,1.134548297E7,34,100,1105509.1870000006,5.20336354E8
133,false,[10/81],crossoverKempe,0.0,0,100,3837320.0610000016,5.13110149E8
133,false,[10/81],crossoverKempe,0.0,0,71,3837320.0610000016,5.13110149E8
133,false,[10/81],interRaceX,1.4236008E7,39,100,1242936.6389999986,5.20336354E8
134,false,[10/81],mutationSwapCOP,0.0,0,100,3700015.197000003,5.13110149E8
